class_id,prototype_id,part_id,mean_presence,num_images,is_consistent
12,121,1,0.6173469387755102,392,False
12,121,2,0.6580976863753213,389,False
12,121,3,0.5939226519337016,362,False
12,121,4,0.060109289617486336,366,False
12,121,5,0.0,9,False
12,136,1,0.5051020408163265,392,False
12,136,2,0.2133676092544987,389,False
12,136,3,0.4972375690607735,362,False
12,136,4,0.4972677595628415,366,False
12,136,5,0.3333333333333333,9,False
12,243,1,0.2602040816326531,392,False
12,243,2,0.04884318766066838,389,False
12,243,3,0.24861878453038674,362,False
12,243,4,0.6092896174863388,366,False
12,243,5,0.5555555555555556,9,False
13,180,1,0.040983606557377046,244,False
13,180,2,0.040983606557377046,244,False
13,180,3,0.05116279069767442,215,False
13,180,4,0.07929515418502203,227,False
13,180,5,0.0,1,False
13,189,1,0.319672131147541,244,False
13,189,2,0.4385245901639344,244,False
13,189,3,0.3023255813953488,215,False
13,189,4,0.2643171806167401,227,False
13,189,5,0.0,1,False
14,8,1,0.8914893617021277,470,True
14,8,2,0.04535637149028078,463,True
14,8,3,0.5450643776824035,466,True
14,8,4,0.17727272727272728,440,True
14,8,5,0.46443514644351463,478,True
14,28,1,0.06382978723404255,470,True
14,28,2,0.9546436285097192,463,True
14,28,3,0.4613733905579399,466,True
14,28,4,0.5454545454545454,440,True
14,28,5,0.4707112970711297,478,True
14,36,1,0.3425531914893617,470,True
14,36,2,0.91792656587473,463,True
14,36,3,0.630901287553648,466,True
14,36,4,0.5909090909090909,440,True
14,36,5,0.5941422594142259,478,True
14,65,1,0.8829787234042553,470,True
14,65,2,0.4190064794816415,463,True
14,65,3,0.8648068669527897,466,True
14,65,4,0.6,440,True
14,65,5,0.7468619246861925,478,True
14,70,1,0.7191489361702128,470,True
14,70,2,0.8056155507559395,463,True
14,70,3,0.9120171673819742,466,True
14,70,4,0.7568181818181818,440,True
14,70,5,0.7405857740585774,478,True
14,115,1,0.7574468085106383,470,False
14,115,2,0.04967602591792657,463,False
14,115,3,0.7274678111587983,466,False
14,115,4,0.3795454545454545,440,False
14,115,5,0.6129707112970711,478,False
14,128,1,0.9148936170212766,470,True
14,128,2,0.23974082073434125,463,True
14,128,3,0.776824034334764,466,True
14,128,4,0.45227272727272727,440,True
14,128,5,0.6757322175732218,478,True
14,175,1,0.2148936170212766,470,False
14,175,2,0.2570194384449244,463,False
14,175,3,0.6094420600858369,466,False
14,175,4,0.5477272727272727,440,False
14,175,5,0.7112970711297071,478,False
14,226,1,0.03829787234042553,470,False
14,226,2,0.7883369330453563,463,False
14,226,3,0.5321888412017167,466,False
14,226,4,0.6659090909090909,440,False
14,226,5,0.4874476987447699,478,False
15,179,1,0.17391304347826086,46,False
15,179,2,0.07407407407407407,54,False
15,179,3,0.1111111111111111,45,False
15,179,4,0.06060606060606061,33,False
15,179,5,0.175,80,False
15,249,1,0.13043478260869565,46,False
15,249,2,0.14814814814814814,54,False
15,249,3,0.26666666666666666,45,False
15,249,4,0.2727272727272727,33,False
15,249,5,0.225,80,False
16,7,1,0.3561643835616438,73,False
16,7,2,0.34545454545454546,55,False
16,7,3,0.25925925925925924,54,False
16,7,4,0.2564102564102564,39,False
16,7,5,0.3333333333333333,75,False
16,93,1,0.1780821917808219,73,False
16,93,2,0.4727272727272727,55,False
16,93,3,0.5555555555555556,54,False
16,93,4,0.15384615384615385,39,False
16,93,5,0.25333333333333335,75,False
16,244,1,0.410958904109589,73,False
16,244,2,0.0,55,False
16,244,3,0.1111111111111111,54,False
16,244,4,0.0,39,False
16,244,5,0.28,75,False
