image_index,class_id,prototype_id,part_id,present
0,12,110,1,False
0,12,111,1,True
0,12,112,1,True
0,12,113,1,False
0,12,114,1,False
0,12,115,1,True
0,12,116,1,False
0,12,117,1,True
0,12,118,1,False
0,12,119,1,False
0,12,110,2,False
0,12,111,2,True
0,12,112,2,True
0,12,113,2,False
0,12,114,2,False
0,12,115,2,False
0,12,116,2,False
0,12,117,2,False
0,12,118,2,False
0,12,119,2,True
0,12,110,3,False
0,12,111,3,True
0,12,112,3,True
0,12,113,3,False
0,12,114,3,False
0,12,115,3,False
0,12,116,3,False
0,12,117,3,False
0,12,118,3,False
0,12,119,3,False
0,12,110,4,True
0,12,111,4,False
0,12,112,4,False
0,12,113,4,True
0,12,114,4,False
0,12,115,4,False
0,12,116,4,True
0,12,117,4,False
0,12,118,4,True
0,12,119,4,False
0,14,130,1,False
0,14,131,1,False
0,14,132,1,False
0,14,133,1,True
0,14,134,1,False
0,14,135,1,False
0,14,136,1,False
0,14,137,1,True
0,14,138,1,True
0,14,139,1,False
0,14,130,2,False
0,14,131,2,True
0,14,132,2,False
0,14,133,2,True
0,14,134,2,False
0,14,135,2,False
0,14,136,2,False
0,14,137,2,False
0,14,138,2,True
0,14,139,2,True
0,14,130,3,False
0,14,131,3,True
0,14,132,3,True
0,14,133,3,True
0,14,134,3,False
0,14,135,3,True
0,14,136,3,False
0,14,137,3,True
0,14,138,3,False
0,14,139,3,False
0,14,130,4,False
0,14,131,4,True
0,14,132,4,False
0,14,133,4,True
0,14,134,4,False
0,14,135,4,True
0,14,136,4,True
0,14,137,4,False
0,14,138,4,True
0,14,139,4,True
0,14,130,5,False
0,14,131,5,False
0,14,132,5,True
0,14,133,5,True
0,14,134,5,False
0,14,135,5,False
0,14,136,5,False
0,14,137,5,True
0,14,138,5,False
0,14,139,5,False
1,12,110,1,True
1,12,111,1,False
1,12,112,1,False
1,12,113,1,False
1,12,114,1,False
1,12,115,1,False
1,12,116,1,True
1,12,117,1,False
1,12,118,1,True
1,12,119,1,False
1,12,110,2,False
1,12,111,2,True
1,12,112,2,True
1,12,113,2,False
1,12,114,2,False
1,12,115,2,False
1,12,116,2,False
1,12,117,2,False
1,12,118,2,False
1,12,119,2,False
1,14,130,1,False
1,14,131,1,False
1,14,132,1,True
1,14,133,1,True
1,14,134,1,True
1,14,135,1,False
1,14,136,1,False
1,14,137,1,True
1,14,138,1,False
1,14,139,1,False
1,14,130,2,False
1,14,131,2,True
1,14,132,2,True
1,14,133,2,True
1,14,134,2,False
1,14,135,2,True
1,14,136,2,True
1,14,137,2,False
1,14,138,2,True
1,14,139,2,True
1,14,130,3,True
1,14,131,3,False
1,14,132,3,True
1,14,133,3,True
1,14,134,3,False
1,14,135,3,True
1,14,136,3,False
1,14,137,3,True
1,14,138,3,False
1,14,139,3,False
1,14,130,4,False
1,14,131,4,False
1,14,132,4,True
1,14,133,4,True
1,14,134,4,False
1,14,135,4,False
1,14,136,4,False
1,14,137,4,True
1,14,138,4,False
1,14,139,4,False
1,14,130,5,True
1,14,131,5,False
1,14,132,5,True
1,14,133,5,False
1,14,134,5,True
1,14,135,5,True
1,14,136,5,True
1,14,137,5,True
1,14,138,5,False
1,14,139,5,False
2,14,130,1,True
2,14,131,1,False
2,14,132,1,True
2,14,133,1,True
2,14,134,1,True
2,14,135,1,True
2,14,136,1,True
2,14,137,1,True
2,14,138,1,False
2,14,139,1,False
2,14,130,2,False
2,14,131,2,False
2,14,132,2,False
2,14,133,2,False
2,14,134,2,False
2,14,135,2,False
2,14,136,2,True
2,14,137,2,False
2,14,138,2,True
2,14,139,2,True
2,14,130,3,True
2,14,131,3,False
2,14,132,3,True
2,14,133,3,False
2,14,134,3,False
2,14,135,3,True
2,14,136,3,True
2,14,137,3,True
2,14,138,3,False
2,14,139,3,False
2,14,130,4,False
2,14,131,4,False
2,14,132,4,True
2,14,133,4,True
2,14,134,4,False
2,14,135,4,False
2,14,136,4,True
2,14,137,4,True
2,14,138,4,True
2,14,139,4,False
2,14,130,5,True
2,14,131,5,True
2,14,132,5,True
2,14,133,5,True
2,14,134,5,False
2,14,135,5,True
2,14,136,5,True
2,14,137,5,True
2,14,138,5,False
2,14,139,5,True
3,13,120,1,False
3,13,121,1,False
3,13,122,1,False
3,13,123,1,False
3,13,124,1,False
3,13,125,1,False
3,13,126,1,False
3,13,127,1,False
3,13,128,1,False
3,13,129,1,True
3,13,120,2,False
3,13,121,2,False
3,13,122,2,False
3,13,123,2,False
3,13,124,2,False
3,13,125,2,False
3,13,126,2,False
3,13,127,2,False
3,13,128,2,False
3,13,129,2,False
3,13,120,3,False
3,13,121,3,False
3,13,122,3,False
3,13,123,3,False
3,13,124,3,False
3,13,125,3,False
3,13,126,3,False
3,13,127,3,False
3,13,128,3,False
3,13,129,3,False
3,14,130,1,True
3,14,131,1,False
3,14,132,1,True
3,14,133,1,True
3,14,134,1,True
3,14,135,1,False
3,14,136,1,False
3,14,137,1,True
3,14,138,1,True
3,14,139,1,True
3,14,130,2,False
3,14,131,2,False
3,14,132,2,False
3,14,133,2,False
3,14,134,2,False
3,14,135,2,True
3,14,136,2,True
3,14,137,2,False
3,14,138,2,False
3,14,139,2,True
3,14,130,3,True
3,14,131,3,True
3,14,132,3,True
3,14,133,3,True
3,14,134,3,False
3,14,135,3,True
3,14,136,3,True
3,14,137,3,True
3,14,138,3,False
3,14,139,3,False
3,14,130,4,True
3,14,131,4,False
3,14,132,4,True
3,14,133,4,False
3,14,134,4,False
3,14,135,4,False
3,14,136,4,False
3,14,137,4,True
3,14,138,4,False
3,14,139,4,False
3,14,130,5,False
3,14,131,5,False
3,14,132,5,True
3,14,133,5,False
3,14,134,5,False
3,14,135,5,False
3,14,136,5,False
3,14,137,5,True
3,14,138,5,False
3,14,139,5,False
3,16,150,1,False
3,16,151,1,False
3,16,152,1,False
3,16,153,1,False
3,16,154,1,False
3,16,155,1,False
3,16,156,1,False
3,16,157,1,False
3,16,158,1,False
3,16,159,1,False
3,16,150,5,False
3,16,151,5,False
3,16,152,5,False
3,16,153,5,False
3,16,154,5,False
3,16,155,5,False
3,16,156,5,False
3,16,157,5,False
3,16,158,5,False
3,16,159,5,False
4,12,110,1,False
4,12,111,1,False
4,12,112,1,True
4,12,113,1,False
4,12,114,1,True
4,12,115,1,True
4,12,116,1,False
4,12,117,1,True
4,12,118,1,False
4,12,119,1,False
4,12,110,2,False
4,12,111,2,False
4,12,112,2,False
4,12,113,2,False
4,12,114,2,False
4,12,115,2,False
4,12,116,2,False
4,12,117,2,False
4,12,118,2,False
4,12,119,2,False
4,12,110,3,False
4,12,111,3,False
4,12,112,3,False
4,12,113,3,False
4,12,114,3,False
4,12,115,3,False
4,12,116,3,False
4,12,117,3,False
4,12,118,3,False
4,12,119,3,False
4,12,110,4,True
4,12,111,4,False
4,12,112,4,False
4,12,113,4,True
4,12,114,4,False
4,12,115,4,False
4,12,116,4,True
4,12,117,4,False
4,12,118,4,True
4,12,119,4,False
4,14,130,1,True
4,14,131,1,False
4,14,132,1,True
4,14,133,1,True
4,14,134,1,True
4,14,135,1,False
4,14,136,1,False
4,14,137,1,True
4,14,138,1,False
4,14,139,1,False
4,14,130,2,False
4,14,131,2,True
4,14,132,2,False
4,14,133,2,False
4,14,134,2,False
4,14,135,2,False
4,14,136,2,True
4,14,137,2,False
4,14,138,2,True
4,14,139,2,True
4,14,130,3,True
4,14,131,3,True
4,14,132,3,True
4,14,133,3,True
4,14,134,3,False
4,14,135,3,True
4,14,136,3,True
4,14,137,3,True
4,14,138,3,True
4,14,139,3,True
4,14,130,4,False
4,14,131,4,True
4,14,132,4,True
4,14,133,4,True
4,14,134,4,False
4,14,135,4,False
4,14,136,4,False
4,14,137,4,True
4,14,138,4,True
4,14,139,4,True
4,14,130,5,False
4,14,131,5,False
4,14,132,5,True
4,14,133,5,True
4,14,134,5,False
4,14,135,5,False
4,14,136,5,False
4,14,137,5,True
4,14,138,5,False
4,14,139,5,True
5,12,110,1,False
5,12,111,1,False
5,12,112,1,False
5,12,113,1,True
5,12,114,1,False
5,12,115,1,False
5,12,116,1,True
5,12,117,1,True
5,12,118,1,True
5,12,119,1,False
5,12,110,2,False
5,12,111,2,False
5,12,112,2,True
5,12,113,2,False
5,12,114,2,False
5,12,115,2,False
5,12,116,2,False
5,12,117,2,False
5,12,118,2,False
5,12,119,2,True
5,12,110,3,False
5,12,111,3,False
5,12,112,3,False
5,12,113,3,False
5,12,114,3,False
5,12,115,3,False
5,12,116,3,False
5,12,117,3,False
5,12,118,3,False
5,12,119,3,False
5,12,110,4,False
5,12,111,4,False
5,12,112,4,False
5,12,113,4,False
5,12,114,4,False
5,12,115,4,False
5,12,116,4,False
5,12,117,4,False
5,12,118,4,False
5,12,119,4,False
5,14,130,1,True
5,14,131,1,False
5,14,132,1,True
5,14,133,1,True
5,14,134,1,False
5,14,135,1,False
5,14,136,1,False
5,14,137,1,True
5,14,138,1,False
5,14,139,1,False
5,14,130,2,False
5,14,131,2,True
5,14,132,2,False
5,14,133,2,True
5,14,134,2,False
5,14,135,2,False
5,14,136,2,False
5,14,137,2,False
5,14,138,2,True
5,14,139,2,True
5,14,130,3,True
5,14,131,3,True
5,14,132,3,True
5,14,133,3,True
5,14,134,3,False
5,14,135,3,True
5,14,136,3,False
5,14,137,3,True
5,14,138,3,True
5,14,139,3,True
5,14,130,4,True
5,14,131,4,True
5,14,132,4,True
5,14,133,4,False
5,14,134,4,False
5,14,135,4,False
5,14,136,4,False
5,14,137,4,True
5,14,138,4,True
5,14,139,4,True
5,14,130,5,True
5,14,131,5,False
5,14,132,5,False
5,14,133,5,True
5,14,134,5,True
5,14,135,5,True
5,14,136,5,False
5,14,137,5,False
5,14,138,5,False
5,14,139,5,False
